section,scenario_id,scenario_summary,question_number,step9_column,question_text,field_type,options,required,branching_logic,notes
Reviewer Information,,,RI-1,reviewer_code,Reviewer initials or anonymous reviewer code,Short text,,Yes,,Do not request full name. Reviewer may use a code (e.g. RO-1).
Reviewer Information,,,RI-2,reviewer_role,Specialty / role,Short text,,Yes,,e.g. Radiation Oncologist — Consultant; Radiation Oncologist — Trainee; Medical Physicist
Reviewer Information,,,RI-3,experience_band,Years of Radiation Oncology experience,Multiple choice,Trainee|0–5 years|6–10 years|More than 10 years|Prefer not to say,Yes,,
Scenario S001,S001,Agent: Enzalutamide | Agent class: Androgen receptor antagonist / ADT | RT site: Prostate — Prostate only | Timing: Sequential | Fractionation: Palliative single fraction,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S001,S001,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S001,S001,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S001,S001,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S001,S001,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S002,S002,Agent: Letrozole | Agent class: Aromatase inhibitor / endocrine therapy | RT site: Breast — Whole breast | Timing: Planned after RT | Fractionation: Palliative multifraction,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S002,S002,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S002,S002,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S002,S002,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S002,S002,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S003,S003,Agent: Abiraterone | Agent class: Androgen synthesis inhibitor / ADT | RT site: Prostate — Prostate + pelvic nodes | Timing: Sequential | Fractionation: Palliative multifraction,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S003,S003,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S003,S003,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S003,S003,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S003,S003,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S004,S004,Agent: Bicalutamide | Agent class: Androgen receptor antagonist / ADT | RT site: Spine — Lumbar/sacral | Timing: Sequential | Fractionation: Palliative multifraction,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S004,S004,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S004,S004,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q7,uncertainty_appropriate,Is the uncertainty signalling appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q8,false_reassurance,Does the app output risk creating false reassurance (under-alerting a real risk)?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S004,S004,,Q9,confidence,How confident are you in your assessment of this scenario?,Multiple choice,Low|Moderate|High,Yes,,
Scenario S004,S004,,Q10,suggested_correction,Suggested correction or comment (optional). WARNING: Do not include any patient-identifying or case-specific information.,Short text,,No,,Only optional free-text field. Privacy warning embedded in label.
Scenario S005,S005,Agent: Anastrozole | Agent class: Aromatase inhibitor / endocrine therapy | RT site: Breast — Chest wall | Timing: Planned after RT | Fractionation: Palliative single fraction,Q-ID,scenario_id,Scenario ID (pre-filled — do not change),Short text,,Yes,,Pre-fill with scenario ID. Required for Step 9 schema.
Scenario S005,S005,,Q1,alert_appropriate,Is the app alert level clinically appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S005,S005,,Q2,preferred_alert_level,"If the alert is not appropriate, what level would you prefer? (Select N/A if alert is appropriate)",Multiple choice,N/A — alert is appropriate|No specific alert|Caution|Moderate toxicity alert|High toxicity alert|Uncertain / evidence limited,Yes,Show for all; reviewer selects N/A if Q1=Yes,Maps to preferred_alert_level in schema. N/A responses filtered in Step 9.
Scenario S005,S005,,Q3,toxicity_domains_appropriate,Are the toxicity domains listed by the app appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S005,S005,,Q4,risk_driver_appropriate,Is the primary risk driver appropriate?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S005,S005,,Q5,rationale_appropriate,Is the rationale narrative accurate and appropriately qualified?,Multiple choice,Yes|No|Uncertain,Yes,,
Scenario S005,S005,,Q6,evidence_appropriate,Is the evidence basis appropriate for the alert level?,Multiple choice,Yes|No|Uncertain,Yes,,
