reviewer_id_or_initials,reviewer_specialty_role,review_date,scenario_id,agent_names,rt_site,timing,fractionation,app_alert_level,app_toxicity_domains,app_risk_driver,app_rationale_summary,app_evidence_ids,alert_appropriate_yes_no_uncertain,preferred_alert_level,toxicity_domains_appropriate_yes_no_uncertain,missing_toxicity_domains,inappropriate_toxicity_domains,risk_driver_appropriate_yes_no_uncertain,rationale_appropriate_yes_no_uncertain,evidence_appropriate_yes_no_uncertain,uncertainty_rating_appropriate_yes_no_uncertain,potential_false_reassurance_yes_no,suggested_correction_or_comment,reviewer_confidence_low_moderate_high
,,,S001,enzalutamide,Prostate — Prostate only,Sequential,Palliative single fraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S002,letrozole,Breast — Whole breast,Planned after RT,Palliative multifraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S003,abiraterone,Prostate — Prostate + pelvic nodes,Sequential,Palliative multifraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S004,bicalutamide,Spine — Lumbar/sacral,Sequential,Palliative multifraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S005,anastrozole,Breast — Chest wall,Planned after RT,Palliative single fraction,No specific alert,None,Agent-driven,No major interaction signal identified; proceed with standard clinical checks and clinician override.,EVID-0069; EVID-0070,,,,,,,,,,,,
,,,S006,paclitaxel,Head and neck — Larynx/hypopharynx,Concurrent,Conventional fractionation,Caution,DOM-03; DOM-01; DOM-06,Combination-driven,This is a recognised concurrent chemoradiation combination; toxicity risk is expected and should be managed according to...,EVID-0041; EVID-0043; EVID-0044,,,,,,,,,,,,
,,,S007,ipilimumab,Brain — SRS/focal,Concurrent,SRS,Caution,DOM-10,Combination-driven,"SRS with immune checkpoint therapy may increase inflammatory imaging changes, oedema or radionecrosis in selected settin...",EVID-0002; EVID-0024,,,,,,,,,,,,
,,,S008,docetaxel,Head and neck — Oral cavity/oropharynx,Concurrent,Conventional fractionation,Caution,DOM-03; DOM-01; DOM-06,Combination-driven,This is a recognised concurrent chemoradiation combination; toxicity risk is expected and should be managed according to...,EVID-0041; EVID-0043; EVID-0044,,,,,,,,,,,,
,,,S009,cisplatin,Head and neck — Oral cavity/oropharynx,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-03; DOM-01; DOM-06,Combination-driven,Concurrent systemic therapy may intensify mucosal toxicity in the irradiated field. This is also a recognised concurrent...,EVID-0003; EVID-0041; EVID-0043; EVID-0044,,,,,,,,,,,,
,,,S010,palbociclib,Pelvis — Rectal,Concurrent,Conventional fractionation,Moderate toxicity alert,DOM-01; DOM-06,Combination-driven,"Concurrent CDK4/6 inhibition may increase marrow and gastrointestinal toxicity, particularly with pelvic or abdominal RT...",EVID-0001; EVID-0002; EVID-0015; EVID-0016,,,,,,,,,,,,
